doctor_id,first_name,last_name,specialty,department,license_number,phone_number,email,office_number,current_doctor
1,Emily,Turner,Cardiology,Cardiology Department,LIC28913,610-555-8123,eturner@medportal.com,Room 201,1
2,Michael,Rivera,Neurology,Neuroscience Department,LIC77124,215-555-4478,mrivera@medportal.com,Room 305,1
3,Sophia,Lee,Pediatrics,Pediatrics Department,LIC55482,484-555-1298,slee@medportal.com,Room 112,1
4,James,Hernandez,Orthopedics,Orthopedic Surgery,LIC90341,610-555-3344,jhernandez@medportal.com,Room 410,1
5,Isabella,Martinez,Endocrinology,Endocrine Clinic,LIC66422,484-555-0003,imartinez@medportal.com,Room 218,1
6,Ethan,Walker,Gastroenterology,Gastroenterology Center,LIC77102,215-555-9123,ewalker@medportal.com,Room 509,1
7,Ava,Robinson,Internal Medicine,Internal Medicine Wing,LIC28841,610-555-7765,arobinson@medportal.com,Room 134,1
8,William,Lopez,Urology,Urology Department,LIC55491,610-555-9832,wlopez@medportal.com,Room 388,1
9,Mia,Gonzalez,Family Medicine,Family Practice Center,LIC44219,215-555-6254,mgonzalez@medportal.com,Room 122,1
10,Alexander,Young,Oncology,Oncology Unit,LIC99311,484-555-5521,ayoung@medportal.com,Room 520,1
11,Charlotte,Allen,Rheumatology,Rheumatology Clinic,LIC23491,610-555-1777,callen@medportal.com,Room 208,1
12,Benjamin,Sanchez,Cardiothoracic Surgery,Heart and Lung Institute,LIC80124,484-555-8921,bsanchez@medportal.com,Room 615,1
13,Amelia,Clark,Dermatology,Dermatology Center,LIC65211,215-555-3011,aclark@medportal.com,Room 104,1
14,Lucas,King,Pathology,Pathology Lab,LIC99012,610-555-9988,lking@medportal.com,Room 410,1
15,Harper,Wright,Ophthalmology,Ophthalmology Clinic,LIC45023,215-555-8876,hwright@medportal.com,Room 333,1
16,Henry,Scott,Hematology,Hematology Department,LIC77991,610-555-1104,hscott@medportal.com,Room 298,1
17,Evelyn,Green,Nephrology,Nephrology Center,LIC62310,484-555-3366,egreen@medportal.com,Room 411,1
18,Jack,Baker,General Surgery,Surgery Department,LIC52201,610-555-4309,jbaker@medportal.com,Room 502,1
19,Lily,Adams,Allergy and Immunology,Immunology Clinic,LIC34588,215-555-6734,ladams@medportal.com,Room 214,1
20,Daniel,Nelson,Emergency Medicine,Emergency Wing,LIC78212,484-555-7723,dnelson@medportal.com,Room ER-3,1
21,Grace,Carter,Occupational Medicine,Occupational Health,LIC23091,610-555-6612,gcarter@medportal.com,Room 145,1
22,Owen,Mitchell,Neurological Surgery,Neurosurgery Department,LIC72110,215-555-9122,omitchell@medportal.com,Room 620,1
