patient_id,first_name,last_name,date_of_birth,gender,phone_number,email,address,state,city,zip_code,insurance_provider,current_patient
1,James,Wilson,1984-05-12,Male,555-101-2345,jwilson1@gmail.com,12 Oak St,PA,Philadelphia,19104,Aetna,1
2,Sarah,Johnson,1990-11-03,Female,555-321-1189,sjohnson2@yahoo.com,45 Pine Ln,NJ,Trenton,08618,BlueCross,1
3,Michael,Brown,1978-02-22,Male,555-876-4432,mbrown3@gmail.com,88 Maple Ave,PA,Pittsburgh,15213,UnitedHealth,1
4,Emily,Davis,1989-07-19,Female,555-553-9087,edavis4@hotmail.com,34 Cedar Rd,DE,Wilmington,19801,Aetna,1
5,Christopher,Miller,1995-01-08,Male,555-229-3401,cmiller5@gmail.com,67 Birch St,PA,Harrisburg,17101,Cigna,0
6,Ashley,Garcia,1983-09-14,Female,555-440-7752,agarcia6@yahoo.com,90 Cherry Dr,NJ,Newark,07102,BlueCross,1
7,Matthew,Martinez,1998-03-06,Male,555-900-2211,mmartinez7@gmail.com,21 Aspen Way,PA,Reading,19601,Aetna,1
8,Amanda,Rodriguez,1986-08-27,Female,555-994-8820,arodriguez8@gmail.com,54 Lemon St,MD,Baltimore,21201,UnitedHealth,0
9,Joshua,Hernandez,1991-04-30,Male,555-311-4920,jhernandez9@yahoo.com,18 Oakwood Ln,PA,Lancaster,17601,Aetna,1
10,Samantha,Lopez,1993-10-11,Female,555-602-1933,slopez10@gmail.com,82 Laurel St,PA,York,17401,Highmark,1
11,Andrew,Gonzalez,1980-05-09,Male,555-440-7611,agonzalez11@yahoo.com,14 Ridge Ave,PA,Erie,16501,Aetna,0
12,Olivia,Clark,1999-12-01,Female,555-221-7744,oclark12@gmail.com,78 Hill Rd,NJ,JerseyCity,07302,BlueCross,1
13,Daniel,Lewis,1985-06-17,Male,555-158-3048,dlewis13@hotmail.com,89 Walnut Dr,PA,Allentown,18101,UnitedHealth,1
14,Isabella,Young,2000-09-23,Female,555-988-4500,iyoung14@gmail.com,33 Summit Rd,PA,Bethlehem,18015,Aetna,1
15,David,Hall,1977-03-14,Male,555-883-9944,dhall15@gmail.com,11 Brookside St,PA,Scranton,18503,Cigna,1
16,Megan,Allen,1992-11-26,Female,555-309-7221,mallen16@yahoo.com,20 Orchard Dr,OH,Cleveland,44101,Aetna,1
17,Justin,Wright,1987-02-10,Male,555-974-1109,jwright17@gmail.com,65 Juniper Rd,PA,KingOfPrussia,19406,BlueCross,0
18,Hannah,King,1994-07-12,Female,555-874-4321,hking18@gmail.com,27 Greene St,NJ,Paterson,07501,Aetna,1
19,Joseph,Scott,1981-04-29,Male,555-648-9901,jscott19@yahoo.com,30 Ridgeview Rd,PA,Altoona,16601,UnitedHealth,1
20,Abigail,Green,1997-01-15,Female,555-210-5544,agreen20@gmail.com,72 Pinecrest Ln,PA,Levittown,19054,Aetna,1
21,Ryan,Baker,1988-06-04,Male,555-349-7740,rbaker21@hotmail.com,41 Oak Hill Dr,PA,Chester,19013,Cigna,1
22,Grace,Adams,1996-03-21,Female,555-811-1432,gadams22@gmail.com,19 Willow Dr,PA,WestChester,19380,Aetna,1
23,Kevin,Nelson,1983-01-02,Male,555-990-2221,knelson23@gmail.com,90 Birchview Ln,PA,Pottstown,19464,Highmark,0
24,Victoria,Rivera,1991-08-13,Female,555-721-9843,vrivera24@yahoo.com,55 Valley Rd,NJ,Camden,08102,Aetna,1
25,Benjamin,Cook,1979-09-09,Male,555-112-9022,bcook25@gmail.com,28 Oak Ridge Ave,PA,Malvern,19355,BlueCross,1
26,Natalie,Morgan,1993-05-17,Female,555-499-3100,nmorgan26@gmail.com,17 Spruce St,PA,Exton,19341,Aetna,1
27,Tyler,Bell,1986-10-25,Male,555-742-8211,tbell27@yahoo.com,48 Rosewood Rd,PA,Downingtown,19335,Cigna,1
28,Hailey,Cooper,1998-12-07,Female,555-744-2209,hcooper28@gmail.com,88 Briarwood Dr,PA,Wayne,19087,UnitedHealth,1
29,Zachary,Richardson,1990-04-01,Male,555-120-5533,zrichardson29@gmail.com,33 Fairview Ln,NJ,Elizabeth,07201,Aetna,1
30,Lily,Cox,1984-07-30,Female,555-660-4327,lcox30@yahoo.com,12 Orchard Ave,PA,Media,19063,BlueCross,1
31,Aaron,Howard,1976-02-14,Male,555-938-2280,ahoward31@gmail.com,77 Willowbrook Ln,PA,Newtown,18940,Aetna,0
32,Amelia,Ward,1995-09-02,Female,555-223-7001,award32@hotmail.com,63 Hollis St,PA,Bensalem,19020,Aetna,1
33,Adam,Torres,1992-05-07,Male,555-500-8822,atorres33@gmail.com,46 Windsor Dr,PA,Havertown,19083,Highmark,1
34,Alyssa,Peterson,1988-03-28,Female,555-414-9900,apeterson34@yahoo.com,22 Chestnut St,PA,Norristown,19401,Cigna,1
35,Dylan,Gray,1997-07-10,Male,555-311-9921,dgray35@gmail.com,18 Ivy Ln,NJ,Edison,08817,Aetna,1
36,Chloe,Ramirez,1994-12-19,Female,555-744-5577,cramirez36@gmail.com,99 Meadow Rd,PA,Springfield,19064,BlueCross,1
37,Jason,James,1981-10-22,Male,555-840-2201,jjames37@gmail.com,71 Mountain Rd,PA,Phoenixville,19460,Aetna,1
38,Ava,Watson,1999-08-15,Female,555-234-8821,awatson38@yahoo.com,65 Highland Ave,PA,Feasterville,19053,Aetna,1
39,Eric,Brooks,1985-04-05,Male,555-299-7400,ebrooks39@gmail.com,34 Creekside Dr,PA,Chalfont,18914,UnitedHealth,1
